method,seed,score,colors,conflicts,evaluations,feasible_fraction,best_feasible_colors,seconds
Penalty-reset,27000,10.0,10,0,7272,0.0022002200220022,10,0.33016869400000814
Penalty-reset,27001,9.0,9,0,7272,0.0017876787678767878,9,0.33087628900000254
Penalty-reset,27002,10.0,10,0,7272,0.004125412541254125,10,0.33378928400009045
Penalty-reset,27003,12.0,12,0,7272,0.0028877887788778876,12,0.3334885020000229
Penalty-reset,27004,9.0,9,0,7272,0.0023377337733773377,9,0.349809870999934
Penalty-reset,27005,9.0,9,0,7272,0.0015126512651265126,9,0.3163577999999916
Penalty-reset,27006,10.0,10,0,7272,0.0028877887788778876,10,0.3151378229999864
Penalty-reset,27007,11.0,11,0,7272,0.0033003300330033004,11,0.3167042410000249
Penalty-reset,27008,11.0,11,0,7272,0.0024752475247524753,11,0.3196559849999403
Penalty-reset,27009,10.0,10,0,7272,0.0022002200220022,10,0.31840804900002695
Penalty-reset,27010,11.0,11,0,7272,0.0023377337733773377,11,0.3181839229999923
Penalty-reset,27011,12.0,12,0,7272,0.003025302530253025,12,0.320199056999968
Penalty-reset,27012,11.0,11,0,7272,0.0016501650165016502,11,0.31837787499989645
Penalty-reset,27013,10.0,10,0,7272,0.0022002200220022,10,0.316967419999969
Penalty-reset,27014,11.0,11,0,7272,0.0023377337733773377,11,0.3168243260000736
Penalty-reset,27015,10.0,10,0,7272,0.0033003300330033004,10,0.3181799270000738
Penalty-reset,27016,12.0,12,0,7272,0.0020627062706270625,12,0.3372673160000659
Penalty-reset,27017,10.0,10,0,7272,0.0020627062706270625,10,0.31989946499993493
Penalty-reset,27018,11.0,11,0,7272,0.0024752475247524753,11,0.3130082500000526
Penalty-reset,27019,11.0,11,0,7272,0.0027502750275027505,11,0.3120252100000016
Repair-reset,27000,6.0,6,0,7272,1.0,6,0.6620965030000434
Repair-reset,27001,6.0,6,0,7272,1.0,6,0.6626543029999539
Repair-reset,27002,6.0,6,0,7272,1.0,6,0.6597844519999398
Repair-reset,27003,6.0,6,0,7272,1.0,6,0.6689475379999976
Repair-reset,27004,6.0,6,0,7272,1.0,6,0.662706121000042
Repair-reset,27005,6.0,6,0,7272,1.0,6,0.661549530000002
Repair-reset,27006,6.0,6,0,7272,1.0,6,0.661021863999963
Repair-reset,27007,6.0,6,0,7272,1.0,6,0.6599663140000303
Repair-reset,27008,6.0,6,0,7272,1.0,6,0.660285614999907
Repair-reset,27009,6.0,6,0,7272,1.0,6,0.662156270999958
Repair-reset,27010,6.0,6,0,7272,1.0,6,0.7343675490000123
Repair-reset,27011,6.0,6,0,7272,1.0,6,0.738365505000047
Repair-reset,27012,6.0,6,0,7272,1.0,6,0.6841627750000043
Repair-reset,27013,6.0,6,0,7272,1.0,6,0.6778441420000263
Repair-reset,27014,7.0,7,0,7272,1.0,7,0.6958227210000132
Repair-reset,27015,6.0,6,0,7272,1.0,6,0.7128292699999292
Repair-reset,27016,6.0,6,0,7272,1.0,6,0.6724435700000413
Repair-reset,27017,6.0,6,0,7272,1.0,6,0.6688380220000454
Repair-reset,27018,6.0,6,0,7272,1.0,6,0.697084673000063
Repair-reset,27019,6.0,6,0,7272,1.0,6,0.673770324999964
Repair-copy,27000,6.0,6,0,7272,1.0,6,0.6395780729999387
Repair-copy,27001,6.0,6,0,7272,1.0,6,0.6288271560000567
Repair-copy,27002,6.0,6,0,7272,1.0,6,0.6372260730000789
Repair-copy,27003,6.0,6,0,7272,1.0,6,0.639119623000056
Repair-copy,27004,6.0,6,0,7272,1.0,6,0.6512745040000709
Repair-copy,27005,6.0,6,0,7272,1.0,6,0.6855666760000076
Repair-copy,27006,6.0,6,0,7272,1.0,6,0.6442751259999113
